	~venusandadonis 5~sonnets 1~loverscomplaint 14
bower	~sonnets 1
bows	~venusandadonis 1
boy	~venusandadonis 8~various 2~sonnets 2
boy;	~venusandadonis 1~sonnets 1
brag	~venusandadonis 1~various 1~sonnets 1
bragg'd	~rapeoflucrece 1
braided	~venusandadonis 1~loverscomplaint 1
brain	~venusandadonis 2~sonnets 5
brain's	~rapeoflucrece 1
brain-sick	~rapeoflucrece 1
brain;	~venusandadonis 1
brains	~sonnets 1
brake	~venusandadonis 3
brakes	~venusandadonis 1~various 1
brambles	~venusandadonis 1
branches	~rapeoflucrece 1
brand	~sonnets 5
brass	~sonnets 4
brave	~various 1~sonnets 3~rapeoflucrece 1
bravery	~sonnets 1
brawl	~various 1
brawny	~venusandadonis 1
breach	~venusandadonis 2~sonnets 1~rapeoflucrece 2
break	~venusandadonis 1~various 1~sonnets 4~rapeoflucrece 5~loverscomplaint 2
breakers	~rapeoflucrece 1
breaketh	~venusandadonis 2
breaking	~loverscomplaint 2
breaks	~venusandadonis 5~rapeoflucrece 2
breast	~venusandadonis 7~various 2~sonnets 6~rapeoflucrece 7~loverscomplaint 2
breast;	~venusandadonis 2~sonnets 1
breasts	~sonnets 1~rapeoflucrece 3
breath	~venusandadonis 9~various 6~sonnets 6~rapeoflucrece 5~loverscomplaint 1
breath;	~sonnets 1~rapeoflucrece 2
breathe	~sonnets 2~loverscomplaint 1
breathed	~rapeoflucrece 1
breathers	~sonnets 1
breathes	~sonnets 1~rapeoflucrece 2
breatheth	~venusandadonis 2
breathing-while;	~venusandadonis 1
breathings	~rapeoflucrece 1
breathless	~venusandadonis 1
breaths	~rapeoflucrece 1
bred	~venusandadonis 2~sonnets 2~rapeoflucrece 2
bred;	~rapeoflucrece 2
breed	~venusandadonis 2~various 1~sonnets 2
breed;	~rapeoflucrece 1
breeder	~venusandadonis 2
breedeth	~venusandadonis 2
breeding	~venusandadonis 1
breeds	~venusandadonis 1~sonnets 1~rapeoflucrece 4
bribed	~venusandadonis 1
bridle	~venusandadonis 1
brief	~sonnets 3~rapeoflucrece 2~loverscomplaint 1
brier	~venusandadonis 1
bright	~venusandadonis 4~sonnets 11~rapeoflucrece 8
brightness	~sonnets 1
brim	~venusandadonis 1~various 1
brine	~rapeoflucrece 1~loverscomplaint 1
bring	~venusandadonis 2~various 1~sonnets 7~rapeoflucrece 2
bring;	~rapeoflucrece 1
brings	~venusandadonis 1~sonnets 2
brinish	~rapeoflucrece 1~loverscomplaint 1
bristles	~venusandadonis 1
bristly	~venusandadonis 1~sonnets 1
brittle	~various 1
brittle;	~various 1
broad	~venusandadonis 1~sonnets 1
broils	~sonnets 1
broke	~various 2~sonnets 2
broken	~venusandadonis 1~various 4~sonnets 1~rapeoflucrece 1~loverscomplaint 1
brokers	~loverscomplaint 1
brood	~rapeoflucrece 1
brood;	~sonnets 1
brook	~venusandadonis 2~various 3
brook's	~various 1
brooks	~rapeoflucrece 1
brother	~various 1~rapeoflucrece 1
brought	~venusandadonis 1~sonnets 3~rapeoflucrece 3~loverscomplaint 1
brow	~venusandadonis 1~sonnets 5~rapeoflucrece 4
brow's	~venusandadonis 1
brow;	~venusandadonis 2~sonnets 3
browny	~loverscomplaint 1
brows	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
bruised	~rapeoflucrece 1
bubbling	~rapeoflucrece 1
bud	~venusandadonis 1~various 1~sonnets 2~rapeoflucrece 2
bud;	~various 1
budding	~sonnets 1
buds	~various 1~sonnets 4
builded	~sonnets 1~loverscomplaint 1
building	~sonnets 1
buildings	~rapeoflucrece 1
built	~sonnets 2
bulk	~rapeoflucrece 1
bullet	~venusandadonis 1~various 1
bulwarks	~loverscomplaint 1
burden	~venusandadonis 1~sonnets 3~rapeoflucrece 1
burden'd	~venusandadonis 1
burden-wise	~rapeoflucrece 1
buried	~venusandadonis 1~various 1~sonnets 5
buriest	~sonnets 1
burn	~venusandadonis 4~sonnets 3~rapeoflucrece 4
burn'd	~various 2~sonnets 1~loverscomplaint 1
burneth	~venusandadonis 1~rapeoflucrece 1
burning	~venusandadonis 3~sonnets 1~rapeoflucrece 2~loverscomplaint 2
burning;	~venusandadonis 1
burnish'd	~venusandadonis 1
burns	~venusandadonis 2~rapeoflucrece 1
burnt	~venusandadonis 1~rapeoflucrece 2
burthens	~sonnets 1
bury	~venusandadonis 1
bush	~rapeoflucrece 1
bushes	~venusandadonis 2~rapeoflucrece 1
busy	~venusandadonis 1~sonnets 1~rapeoflucrece 1
but	~venusandadonis 41~various 13~sonnets 75~rapeoflucrece 44~loverscomplaint 10
butcher	~venusandadonis 1
butcher-sire	~venusandadonis 1
buttock	~venusandadonis 2
buy	~venusandadonis 1~rapeoflucrece 1
buys	~venusandadonis 1~rapeoflucrece 1
by	~venusandadonis 43~various 10~sonnets 77~rapeoflucrece 74~loverscomplaint 14
by-past	~loverscomplaint 1
by;	~various 1~sonnets 1
cabin	~venusandadonis 1~various 1
cabinet	~venusandadonis 1~rapeoflucrece 1
cabins	~venusandadonis 1
caged	~loverscomplaint 1
caitiff	~venusandadonis 1
call	~venusandadonis 2~various 1~sonnets 9~rapeoflucrece 3
call'd	~venusandadonis 1~sonnets 1~rapeoflucrece 3~loverscomplaint 1
call;	~sonnets 1
called	~various 1
calls	~venusandadonis 2~sonnets 4~rapeoflucrece 2
calm	~various 1~rapeoflucrece 2
came	~venusandadonis 2~sonnets 1~rapeoflucrece 7~loverscomplaint 1
camp	~rapeoflucrece 1
camp;	~rapeoflucrece 1
can	~venusandadonis 9~various 7~sonnets 42~rapeoflucrece 18
cancell'd	~sonnets 1~rapeoflucrece 2
candles	~sonnets 1
canker	~venusandadonis 1~sonnets 4
canker-blooms	~sonnets 1
cannon	~rapeoflucrece 1
cannot	~venusandadonis 7~various 5~sonnets 8~rapeoflucrece 13
canopied	~rapeoflucrece 1
canopy	~sonnets 2
canst	~venusandadonis 4~sonnets 6~rapeoflucrece 1
cap	~various 1
caparisons	~venusandadonis 1
captain	~venusandadonis 1~sonnets 2~rapeoflucrece 2
captivate	~venusandadonis 1
captive	~venusandadonis 1~sonnets 1~rapeoflucrece 2
car	~sonnets 1
carcanet	~sonnets 1
carcass	~loverscomplaint 1
care	~venusandadonis 2~various 1~sonnets 6~rapeoflucrece 2
care's	~rapeoflucrece 1
care;	~various 1
careful	~sonnets 2
careless	~venusandadonis 1~loverscomplaint 1
cares	~venusandadonis 2~rapeoflucrece 5
carriage	~loverscomplaint 1
carrier	~rapeoflucrece 1
carries	~venusandadonis 1
carry	~sonnets 1~rapeoflucrece 1
carry-tale	~venusandadonis 1
carve	~sonnets 1
carved	~sonnets 1~rapeoflucrece 2
case	~sonnets 1~rapeoflucrece 2~loverscomplaint 1
case;	~rapeoflucrece 1
casket	~rapeoflucrece 1
cast	~venusandadonis 1~sonnets 2
castaway;	~rapeoflucrece 1
castle	~various 1
cat	~rapeoflucrece 1
catch	~venusandadonis 1~sonnets 4~rapeoflucrece 1
catching	~venusandadonis 1
caterpillars	~venusandadonis 1
cattle	~loverscomplaint 1
caught	~venusandadonis 1
cause	~venusandadonis 3~various 2~sonnets 3~rapeoflucrece 5
caused	~rapeoflucrece 1
causeless	~venusandadonis 1
cautels	~loverscomplaint 1
cave	~venusandadonis 1~rapeoflucrece 1
caves	~venusandadonis 2
cavil	~rapeoflucrece 1
cavils	~rapeoflucrece 1
cease	~sonnets 1~rapeoflucrece 1
ceased	~venusandadonis 1
ceaseless	~rapeoflucrece 1
cedar	~rapeoflucrece 1
cedar's	~rapeoflucrece 1
cedar-tops	~venusandadonis 1
celestial	~venusandadonis 1~sonnets 1
cell	~rapeoflucrece 1
cement	~various 1
censure	~venusandadonis 1
censures	~sonnets 1
centre	~sonnets 1
ceremony	~sonnets 1
certain	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 2
chafes	~venusandadonis 1
chafing	~venusandadonis 1
chain	~venusandadonis 1
chain'd	~rapeoflucrece 1
challenge	~rapeoflucrece 1
chamber	~rapeoflucrece 4
chamber-door	~rapeoflucrece 1
champaign	~rapeoflucrece 1
champion	~venusandadonis 1
chance	~sonnets 1~rapeoflucrece 2
change	~sonnets 12~rapeoflucrece 2
changed	~various 1~rapeoflucrece 2
changes	~sonnets 1
changing	~sonnets 2
channel	~venusandadonis 1~rapeoflucrece 1~loverscomplaint 1
chant	~venusandadonis 1
chaos	~venusandadonis 1~rapeoflucrece 1
chaps	~rapeoflucrece 1
character	~sonnets 3
character'd	~sonnets 1~rapeoflucrece 1
characters	~loverscomplaint 2
charge	~various 1~sonnets 1~rapeoflucrece 2
charged	~loverscomplaint 1
charged;	~sonnets 1
chariot	~venusandadonis 1
charitable	~rapeoflucrece 1
charity	~loverscomplaint 1
charm	~rapeoflucrece 2~loverscomplaint 1
charm'd	~rapeoflucrece 1~loverscomplaint 1
charmed	~loverscomplaint 1
charms;	~various 1
charter	~sonnets 2
chary	~sonnets 1
chase	~venusandadonis 3~sonnets 2~rapeoflucrece 1
chase;	~venusandadonis 1~rapeoflucrece 1
chased	~rapeoflucrece 1
chased;	~rapeoflucrece 1
chasing	~venusandadonis 1
chaste	~various 1~sonnets 1~rapeoflucrece 6
chastest	~rapeoflucrece 1
chastity	~venusandadonis 1~various 2~rapeoflucrece 1~loverscomplaint 2
chastity's	~rapeoflucrece 1
chat	~venusandadonis 1~rapeoflucrece 1
cheap	~sonnets 1
cheater	~sonnets 1
cheek	~venusandadonis 9~sonnets 4~rapeoflucrece 2~loverscomplaint 3
cheek;	~venusandadonis 1~sonnets 1
cheeks	~venusandadonis 8~various 1~sonnets 3~rapeoflucrece 8
cheeks;	~venusandadonis 1~sonnets 1
cheer	~various 1~sonnets 1~rapeoflucrece 3
cheering	~venusandadonis 1
cheers	~venusandadonis 1~rapeoflucrece 1
cheque	~sonnets 2~rapeoflucrece 1
cheque'd	~sonnets 2~rapeoflucrece 1
chequer'd	~venusandadonis 1
cherish	~sonnets 1~rapeoflucrece 2
cherries;	~venusandadonis 1
cherubin	~loverscomplaint 1
cherubins	~sonnets 1
chest	~sonnets 3~rapeoflucrece 1
chid	~rapeoflucrece 1
chide	~venusandadonis 2~sonnets 5~rapeoflucrece 2
chides	~venusandadonis 1~rapeoflucrece 1
chief	~venusandadonis 2~sonnets 2
chiefly	~various 2
child	~venusandadonis 1~sonnets 8~rapeoflucrece 6
childish	~venusandadonis 1~rapeoflucrece 2
children	~sonnets 1~rapeoflucrece 2
children's	~sonnets 1~rapeoflucrece 2
chill	~loverscomplaint 1
chin	~venusandadonis 2~rapeoflucrece 2
chin;	~loverscomplaint 1
chips	~sonnets 1
chivalry	~rapeoflucrece 1
choice	~venusandadonis 1
choir	~venusandadonis 1
choirs	~sonnets 1
choked	~rapeoflucrece 1
chokes	~venusandadonis 1
choose	~venusandadonis 1~various 1~sonnets 1
choosing	~venusandadonis 1
chopp'd	~sonnets 1
chorus	~various 1
chorus-like	~venusandadonis 1
chose	~various 1~sonnets 1
chronicle	~sonnets 1
churl	~sonnets 2
churlish	~venusandadonis 3
churls	~sonnets 1
cide	~sonnets 1
cinders	~various 1
cipher	~rapeoflucrece 2
cipher'd	~rapeoflucrece 1
circled	~rapeoflucrece 2
circles	~rapeoflucrece 1
circuit	~venusandadonis 1
circumstance	~venusandadonis 1~rapeoflucrece 1
circumstances	~rapeoflucrece 1
cisterns	~rapeoflucrece 1
cite	~various 1
cited	~rapeoflucrece 1
citizen!--distress'd	~rapeoflucrece 1
city	~rapeoflucrece 3~loverscomplaint 2
civil	~venusandadonis 1~sonnets 1~loverscomplaint 1
clad	~rapeoflucrece 1
claim	~rapeoflucrece 2
claims	~rapeoflucrece 1
clamorous	~venusandadonis 1
clamours	~rapeoflucrece 2~loverscomplaint 1
clapping	~venusandadonis 1
clasps	~various 1
claws	~rapeoflucrece 1
clay	~sonnets 1~rapeoflucrece 1
clean	~sonnets 1
cleanly	~venusandadonis 1
cleanly-coin'd	~rapeoflucrece 1
clear	~venusandadonis 1~sonnets 3~rapeoflucrece 6
clear'd	~rapeoflucrece 1
clearer	~sonnets 2
clears	~sonnets 1~rapeoflucrece 1
clears;	~rapeoflucrece 1
cleaves	~venusandadonis 1
cleft	~loverscomplaint 1
clepes	~venusandadonis 1
clerk	~sonnets 1
client	~venusandadonis 1
clients	~rapeoflucrece 1
climb	~rapeoflucrece 1
climb'd	~sonnets 1
clip	~venusandadonis 1~various 1
clipp'd	~various 1
cloak	~sonnets 1~rapeoflucrece 2
clock	~sonnets 2
cloister	~loverscomplaint 1
cloister'd	~rapeoflucrece 1
close	~venusandadonis 1~rapeoflucrece 2
close-tongued	~rapeoflucrece 1
closed	~rapeoflucrece 1
closet	~sonnets 1~rapeoflucrece 1
closure	~venusandadonis 1~sonnets 1
cloth	~rapeoflucrece 1
clothe	~rapeoflucrece 1
cloud	~sonnets 2~rapeoflucrece 3
cloud-eclipsed	~rapeoflucrece 1
cloud-kissing	~rapeoflucrece 1
clouded	~venusandadonis 1~rapeoflucrece 1
clouds	~venusandadonis 3~sonnets 3~rapeoflucrece 2
cloudy	~venusandadonis 1~various 1~rapeoflucrece 2
cloy	~venusandadonis 1
cloy'd	~rapeoflucrece 1
co-partners	~rapeoflucrece 1
coal	~venusandadonis 2~rapeoflucrece 1
coal-black	~venusandadonis 1~rapeoflucrece 1
coals	~venusandadonis 1~rapeoflucrece 1
coasteth	~venusandadonis 1
coat	~loverscomplaint 1
coat;	~rapeoflucrece 1
cock	~various 1
cockatrice	~rapeoflucrece 1
coffer-lids	~venusandadonis 1
coffers-up	~rapeoflucrece 1
coined	~various 1
cold	~venusandadonis 5~sonnets 7~rapeoflucrece 7~loverscomplaint 5
cold-pale	~venusandadonis 1
cold;	~venusandadonis 1~various 1
coldly	~loverscomplaint 1
colour	~venusandadonis 1~sonnets 3~rapeoflucrece 8
colour'd	~various 1~sonnets 1~rapeoflucrece 2
colours	~venusandadonis 1
colt	~venusandadonis 1
combat	~venusandadonis 1~various 1~rapeoflucrece 1
combined	~loverscomplaint 1
combustious	~venusandadonis 1
come	~venusandadonis 1~various 3~sonnets 12~rapeoflucrece 10
come;	~sonnets 1
comely-distant	~loverscomplaint 1
comes	~venusandadonis 3~various 2~sonnets 1~rapeoflucrece 1~loverscomplaint 1
comes;	~rapeoflucrece 1
comest	~various 1
comfort	~various 1~sonnets 4
comfort-killing	~rapeoflucrece 1
comfortable	~rapeoflucrece 1
comforter	~venusandadonis 1
comforteth	~venusandadonis 1
coming	~venusandadonis 1~sonnets 2~rapeoflucrece 2
command	~rapeoflucrece 2~loverscomplaint 1
commandement	~various 1
commander;	~venusandadonis 1
commanders	~rapeoflucrece 1
commanding	~loverscomplaint 1
commands	~venusandadonis 1
commence	~various 1~sonnets 1
commend	~sonnets 1~rapeoflucrece 1
commend;	~various 1
commended	~rapeoflucrece 1~loverscomplaint 1
commends	~rapeoflucrece 1
comment	~venusandadonis 1~sonnets 1
comment;	~sonnets 1
comments	~sonnets 2
commission	~venusandadonis 1
commits	~sonnets 2~rapeoflucrece 1
committed	~sonnets 1~rapeoflucrece 2
commix'd	~loverscomplaint 1
common	~venusandadonis 1~sonnets 4~rapeoflucrece 1
compact	~venusandadonis 1~rapeoflucrece 1
compacted	~rapeoflucrece 1
companions	~rapeoflucrece 1
company	~various 1~rapeoflucrece 1
company;	~rapeoflucrece 2
compare	~venusandadonis 1~sonnets 5~rapeoflucrece 1
compare;	~rapeoflucrece 1
compared	~venusandadonis 1
compares	~venusandadonis 1
compass	~sonnets 1~rapeoflucrece 1
compass'd	~venusandadonis 2
compassionate	~rapeoflucrece 1
compeers	~sonnets 1
compelled	~rapeoflucrece 1
compile	~sonnets 1
compiled	~sonnets 1
complain	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 2
complain'd	~rapeoflucrece 1
complaining	~rapeoflucrece 2
complexion	~venusandadonis 1~sonnets 3
composed	~sonnets 1
composition	~sonnets 1
compound	~sonnets 1~loverscomplaint 1
compound;	~rapeoflucrece 1
compounded	~various 1~sonnets 1
compounds	~sonnets 2
comprehend	~various 1~rapeoflucrece 1
comprehends	~rapeoflucrece 1
concave	~loverscomplaint 1
conceal'd	~sonnets 1
concealed	~venusandadonis 1~loverscomplaint 1
concealing	~rapeoflucrece 1
conceit	~various 3~sonnets 3~rapeoflucrece 1
conceited	~rapeoflucrece 1~loverscomplaint 1
conclude	~rapeoflucrece 1
concludes	~venusandadonis 1~rapeoflucrece 1
conclusion	~rapeoflucrece 1
concord	~sonnets 2
concordant	~various 1
condemn'd	~venusandadonis 1
condemned	~sonnets 1
conduct	~rapeoflucrece 1
conduits	~rapeoflucrece 1
confess	~venusandadonis 2~sonnets 1
confess'd	~sonnets 1
confine	~sonnets 1~loverscomplaint 1
confined	~sonnets 3
confirm'd	~rapeoflucrece 1
confirmed	~rapeoflucrece 1
conflict	~venusandadonis 1
confound	~venusandadonis 1~sonnets 2~rapeoflucrece 1
confound;	~rapeoflucrece 1
confounded	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
confounding	~sonnets 1
confounds	~venusandadonis 1~sonnets 3~rapeoflucrece 3
confusion	~rapeoflucrece 2
congealed	~venusandadonis 1~rapeoflucrece 1
congest	~loverscomplaint 1
conies	~venusandadonis 1
conjures	~rapeoflucrece 1
conquer	~various 1~rapeoflucrece 2
conquer'd	~sonnets 1
conquerors	~venusandadonis 1
conquers	~venusandadonis 1
conquest	~venusandadonis 1~sonnets 3~rapeoflucrece 2
conscience	~sonnets 3~rapeoflucrece 1
consecrate	~sonnets 1
consecrated	~rapeoflucrece 1
consecrations	~loverscomplaint 1
consent	~sonnets 1~rapeoflucrece 3
consider	~sonnets 1
consort	~venusandadonis 1
consorted	~rapeoflucrece 1
conspirator	~rapeoflucrece 1
conspire	~sonnets 1
constancy	~various 1~sonnets 3
constant	~venusandadonis 1~various 1~sonnets 3~rapeoflucrece 1
constrain'd	~rapeoflucrece 1
construe	~various 1
construes	~rapeoflucrece 1
consuls	~rapeoflucrece 1
consulting	~venusandadonis 1
consume	~venusandadonis 1
consumes	~rapeoflucrece 1
consumest	~sonnets 1
contain	~sonnets 1
contains	~sonnets 1~loverscomplaint 1
contemn	~venusandadonis 1
contend	~venusandadonis 1~sonnets 1
contending	~venusandadonis 1~various 1~rapeoflucrece 1
content	~venusandadonis 1~various 1~sonnets 2~loverscomplaint 1
content;	~venusandadonis 1~rapeoflucrece 1
contented	~venusandadonis 1~sonnets 3
contenting	~venusandadonis 1
contents	~sonnets 1~rapeoflucrece 1~loverscomplaint 2
continual	~venusandadonis 1~sonnets 1~rapeoflucrece 1
contracted	~sonnets 2
contradict	~rapeoflucrece 1
contraries	~rapeoflucrece 1
contrary	~sonnets 1~rapeoflucrece 1
contrite	~rapeoflucrece 1
contrive	~rapeoflucrece 1
contrives	~loverscomplaint 1
control	~sonnets 3~rapeoflucrece 2
controll'd	~rapeoflucrece 2
controlled	~venusandadonis 1~rapeoflucrece 1
controlling	~sonnets 2
controls	~rapeoflucrece 1
controversy	~loverscomplaint 1
convert	~rapeoflucrece 1
convert;	~sonnets 1
converted	~sonnets 2
convertest	~sonnets 1
convertite;	~rapeoflucrece 1
converts	~rapeoflucrece 1
convey	~rapeoflucrece 1
convey'd;	~venusandadonis 1
cool	~venusandadonis 1~various 1~sonnets 1
cool'd;	~venusandadonis 1
cools	~sonnets 1
cope	~venusandadonis 1
coped	~rapeoflucrece 1
copesmate	~rapeoflucrece 1
copious	~venusandadonis 1
copse	~venusandadonis 1
copy	~sonnets 2
coral	~venusandadonis 1~various 1~rapeoflucrece 2
corn	~rapeoflucrece 1
correct	~sonnets 1
correction	~sonnets 1
correspondence	~sonnets 1
corrupt	~various 1~sonnets 2
corrupted	~rapeoflucrece 2
corrupting	~sonnets 1
cost	~various 1~sonnets 3~rapeoflucrece 1~loverscomplaint 1
costly	~sonnets 1
couch	~rapeoflucrece 1
could	~venusandadonis 4~various 8~sonnets 9~rapeoflucrece 12~loverscomplaint 2
couldst	~sonnets 1~rapeoflucrece 2
counsel	~venusandadonis 1~various 1~rapeoflucrece 1
count	~sonnets 4
counted	~sonnets 1
countenance	~sonnets 1~rapeoflucrece 1
counterfeit	~sonnets 2~rapeoflucrece 1
counterfeits	~rapeoflucrece 1
countermand	~rapeoflucrece 1
counterpart	~sonnets 1
counting	~sonnets 1
countless	~venusandadonis 1
country	~rapeoflucrece 1
couple	~rapeoflucrece 1
couplement	~sonnets 1
courage	~venusandadonis 4
course	~venusandadonis 2~sonnets 3~rapeoflucrece 4~loverscomplaint 1
courser	~venusandadonis 2
courser's	~venusandadonis 1
courses	~sonnets 1
court	~various 1~loverscomplaint 2
court'sies	~rapeoflucrece 1
courtesy	~venusandadonis 1
cover	~sonnets 3~rapeoflucrece 1
cover'd;	~loverscomplaint 1
coverlet;	~rapeoflucrece 1
covet	~rapeoflucrece 1
covetous	~sonnets 1
coward	~venusandadonis 3~sonnets 1~rapeoflucrece 2
coward-like	~rapeoflucrece 1
cowards	~rapeoflucrece 1
coy	~venusandadonis 2~rapeoflucrece 1
cradle	~venusandadonis 1
craft	~various 1~rapeoflucrece 1~loverscomplaint 2
craggy	~various 1
cramps	~rapeoflucrece 1
cranks	~venusandadonis 1
crannies	~rapeoflucrece 1
cranny	~rapeoflucrece 1
crave	~various 1~sonnets 1~rapeoflucrece 1
crave;	~venusandadonis 1~various 1
craved	~various 1
craves	~rapeoflucrece 1
created	~sonnets 1
created;	~sonnets 1
creation	~sonnets 2~rapeoflucrece 1
creature	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 1
creatures	~venusandadonis 1~sonnets 2~rapeoflucrece 3
credent	~loverscomplaint 1
credit	~various 1~sonnets 1
credulous	~venusandadonis 1~rapeoflucrece 1
creep	~venusandadonis 1~rapeoflucrece 1
creep;	~rapeoflucrece 1
creeping	~rapeoflucrece 2
creeps	~rapeoflucrece 2
crept	~rapeoflucrece 1
crest	~venusandadonis 4
crest-wounding	~rapeoflucrece 1
crests	~sonnets 1
crew;	~rapeoflucrece 1
cried	~various 1~rapeoflucrece 1
cries	~venusandadonis 4~sonnets 1~rapeoflucrece 4~loverscomplaint 1
cries;	~rapeoflucrece 2
crime	~sonnets 4~rapeoflucrece 4
crimeful	~rapeoflucrece 1
crimes	~rapeoflucrece 1
crimson	~venusandadonis 2~rapeoflucrece 1
cripple	~various 1
critic	~sonnets 1
crooked	~venusandadonis 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
crop	~venusandadonis 1
crops	~venusandadonis 1~rapeoflucrece 1
cross	~venusandadonis 1~various 1~sonnets 3~rapeoflucrece 3
cross'd	~sonnets 1
crosses	~venusandadonis 1~rapeoflucrece 2
crow	~various 1~sonnets 2~rapeoflucrece 1
crown	~sonnets 1~rapeoflucrece 1
crown'd	~sonnets 2
crown'd;	~sonnets 1
crowned	~sonnets 1
crowns	~various 1
crows	~venusandadonis 1
cruel	~venusandadonis 1~various 1~sonnets 6~rapeoflucrece 1
cruel;	~sonnets 2
cruelly	~rapeoflucrece 1
crush	~venusandadonis 1
crush'd	~sonnets 1
crusheth	~venusandadonis 1
cry	~venusandadonis 7~sonnets 2~rapeoflucrece 1~loverscomplaint 1
cry;	~various 1~rapeoflucrece 1
crying	~sonnets 1~rapeoflucrece 1
crystal	~venusandadonis 3~sonnets 1~rapeoflucrece 1~loverscomplaint 2
crystals	~venusandadonis 1
cuckoos	~rapeoflucrece 1
cunning	~venusandadonis 2~sonnets 3~rapeoflucrece 1
cup	~sonnets 1
curb	~venusandadonis 1~rapeoflucrece 1~loverscomplaint 1
cure	~venusandadonis 2~sonnets 5~rapeoflucrece 3
cured	~sonnets 1~rapeoflucrece 1
cureless	~rapeoflucrece 1
cures	~various 1~sonnets 1
curious	~venusandadonis 1~sonnets 1~loverscomplaint 1
curious-good	~rapeoflucrece 1
curled	~rapeoflucrece 1
curls	~sonnets 1
curls;	~loverscomplaint 1
current	~rapeoflucrece 1~loverscomplaint 1
curse	~venusandadonis 1~sonnets 2~rapeoflucrece 3
cursed	~various 1~rapeoflucrece 1
cursed-blessed	~rapeoflucrece 1
curst	~venusandadonis 1
curtail	~various 1
curtain	~rapeoflucrece 1
curtains	~rapeoflucrece 1
curvets	~venusandadonis 1
customs	~rapeoflucrece 1
cut	~sonnets 1
daff'd	~various 1~loverscomplaint 1
daily	~sonnets 3~rapeoflucrece 1
daisy	~rapeoflucrece 1
dale	~venusandadonis 1~rapeoflucrece 1
dales	~various 1
dallied	~rapeoflucrece 1
dally	~venusandadonis 1~rapeoflucrece 1
damask	~various 1
damask'd	~sonnets 1
dame	~various 2~rapeoflucrece 6
damm'd	~rapeoflucrece 1
damn'd	~venusandadonis 1
damned	~loverscomplaint 1
damps	~rapeoflucrece 1
damsel	~various 1
dance	~venusandadonis 1
dancing	~sonnets 1~rapeoflucrece 1
dandling	~venusandadonis 1
danger	~venusandadonis 3~rapeoflucrece 1
dangerous	~venusandadonis 1
dangers	~rapeoflucrece 2
dank	~rapeoflucrece 1
dare	~venusandadonis 4~sonnets 4
dares	~rapeoflucrece 2
darest	~rapeoflucrece 2
daring	~various 1~rapeoflucrece 1
dark	~venusandadonis 8~various 1~sonnets 3~rapeoflucrece 5
darken	~rapeoflucrece 1
darkly	~sonnets 1
darkness	~venusandadonis 1~sonnets 1~rapeoflucrece 4
darksome	~rapeoflucrece 1
darling	~sonnets 1
dart	~venusandadonis 2~sonnets 1
darts	~venusandadonis 2
dash	~rapeoflucrece 1
date	~sonnets 4~rapeoflucrece 3
date;	~sonnets 1
dateless	~sonnets 2
dates	~sonnets 1
daughter	~various 1~rapeoflucrece 6
daughters	~venusandadonis 1~rapeoflucrece 1
daunts	~rapeoflucrece 1
day	~venusandadonis 9~various 6~sonnets 24~rapeoflucrece 9
day's	~venusandadonis 2~sonnets 1
day;	~various 2~sonnets 1
daylight	~various 1
days	~sonnets 17~rapeoflucrece 1
dazzleth	~rapeoflucrece 1
dazzling	~venusandadonis 1
dead	~venusandadonis 12~various 4~sonnets 15~rapeoflucrece 13
dead,--O	~venusandadonis 1
dead-killing	~rapeoflucrece 1
dead;	~venusandadonis 1~various 2~sonnets 1
deadly	~venusandadonis 2~rapeoflucrece 4
deaf	~venusandadonis 1~rapeoflucrece 1
deal	~sonnets 1
deal;	~various 1
dealing	~rapeoflucrece 1
dealing;	~venusandadonis 1
dear	~various 2~sonnets 19~rapeoflucrece 9~loverscomplaint 2
dear-purchased	~sonnets 1
dear;	~rapeoflucrece 1~loverscomplaint 1
dearer	~sonnets 2~rapeoflucrece 2
dearest	~sonnets 3
dearly;	~sonnets 1
dearth	~venusandadonis 2~sonnets 1
dearths	~sonnets 1
death	~venusandadonis 9~various 1~sonnets 11~rapeoflucrece 26
death's	~venusandadonis 1~various 1~sonnets 3~rapeoflucrece 1
death's-man	~rapeoflucrece 1
death-bed	~sonnets 1
death-boding	~rapeoflucrece 1
death-divining	~various 1
death-worthy	~rapeoflucrece 1
death;	~rapeoflucrece 1
deaths	~sonnets 2
debarr'd	~sonnets 1
debate	~sonnets 1~rapeoflucrece 2
debated	~rapeoflucrece 1
debaters;	~rapeoflucrece 1
debateth	~sonnets 1
debating	~rapeoflucrece 1
debt	~venusandadonis 2~rapeoflucrece 2
debt;	~sonnets 1
debtor	~sonnets 1~rapeoflucrece 1
debtors	~rapeoflucrece 1
decay	~various 1~sonnets 7~rapeoflucrece 2
decay'd	~sonnets 1~rapeoflucrece 1
decay;	~sonnets 1~rapeoflucrece 2
decays	~sonnets 1~rapeoflucrece 1
decease	~venusandadonis 1~sonnets 3
deceased	~sonnets 2
deceit	~rapeoflucrece 1
deceit;	~rapeoflucrece 1
deceitful	~rapeoflucrece 1
deceits	~loverscomplaint 1
