	~venusandadonis 5~sonnets 1~loverscomplaint 14
CXXIX	~sonnets 1
CXXV	~sonnets 1
CXXVI	~sonnets 1
CXXVII	~sonnets 1
CXXVIII	~sonnets 1
CXXX	~sonnets 1
CXXXI	~sonnets 1
CXXXII	~sonnets 1
CXXXIII	~sonnets 1
CXXXIV	~sonnets 1
CXXXIX	~sonnets 1
CXXXV	~sonnets 1
CXXXVI	~sonnets 1
CXXXVII	~sonnets 1
CXXXVIII	~sonnets 1
Call	~venusandadonis 1
Call'd	~sonnets 1
Calls	~sonnets 1
Came	~sonnets 2~loverscomplaint 1
Can	~venusandadonis 1~sonnets 3~rapeoflucrece 2
Cancell'd	~rapeoflucrece 1
Cannot	~sonnets 1
Canst	~sonnets 1
Capitol	~rapeoflucrece 1
Careless	~various 1
Castalia	~venusandadonis 1
Catching	~loverscomplaint 1
Causer	~various 1
Cave-keeping	~rapeoflucrece 1
Ceasing	~venusandadonis 1
Celestial	~various 1
Charging	~rapeoflucrece 1
Chastity	~rapeoflucrece 1
Cheeks	~rapeoflucrece 1
Cheered	~sonnets 1
Chiding	~sonnets 1
Chiefly	~venusandadonis 1
Circles	~rapeoflucrece 1
Clapping	~venusandadonis 1
Claps	~venusandadonis 1
Clear	~various 1
Clouds	~sonnets 1
Co-supremes	~various 1
Collatine	~rapeoflucrece 22
Collatine's	~rapeoflucrece 3
Collatinus	~rapeoflucrece 8
Collatium	~rapeoflucrece 3
Come	~venusandadonis 1~sonnets 2~rapeoflucrece 1
Comes	~venusandadonis 1~sonnets 1~rapeoflucrece 1
Coming	~rapeoflucrece 1
Commanded	~sonnets 1
Commit	~sonnets 1
Compare	~sonnets 1
Compared	~sonnets 1
Comparing	~venusandadonis 1~rapeoflucrece 1
Conceit	~rapeoflucrece 2
Consents	~loverscomplaint 1
Consumed	~sonnets 1
Continuance	~rapeoflucrece 1
Controlling	~venusandadonis 1
Cool	~venusandadonis 1
Cooling	~rapeoflucrece 1
Coral	~sonnets 1
Corrupted	~rapeoflucrece 1
Corydon	~various 1
Coucheth	~rapeoflucrece 1
Could	~venusandadonis 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
Counsel	~loverscomplaint 1
Counting	~sonnets 1
Courageous	~rapeoflucrece 1
Courageously	~venusandadonis 1
Covers	~rapeoflucrece 1
Cozening	~rapeoflucrece 1
Crabbed	~various 1
Crack'd	~loverscomplaint 1
Crawls	~sonnets 1
Creating	~sonnets 1
Creep	~sonnets 1
Cried	~loverscomplaint 1
Cries	~sonnets 1
Crooked	~sonnets 1
Crowning	~sonnets 1
Cupid	~sonnets 2
Cupid's	~venusandadonis 1
Cynthia	~venusandadonis 1
Cytherea	~various 2
Dainties	~venusandadonis 1
Dance	~venusandadonis 1
Danger	~venusandadonis 1
Dardan	~rapeoflucrece 1
Darkening	~sonnets 1
Daughter	~rapeoflucrece 1
Day	~rapeoflucrece 3
Dear	~sonnets 2~rapeoflucrece 3
Death	~venusandadonis 6~various 1~sonnets 4
Death's	~venusandadonis 1~sonnets 1
Debate	~rapeoflucrece 1
Decay	~sonnets 1
December's	~sonnets 1
Deep	~various 1~rapeoflucrece 2
Delights	~sonnets 1
Demand	~loverscomplaint 1
Describe	~sonnets 1
Deserves	~sonnets 1
Desire	~sonnets 1~rapeoflucrece 4
Desiring	~sonnets 1
Despair	~venusandadonis 1~rapeoflucrece 1
Despite	~sonnets 1
Destinies	~venusandadonis 2
Devise	~rapeoflucrece 1
Devouring	~sonnets 1
Devours	~rapeoflucrece 1
Dian	~venusandadonis 1
Dian's	~sonnets 1
Did	~various 2~loverscomplaint 1
Didst	~venusandadonis 1
Die	~sonnets 2
Dim	~rapeoflucrece 1
Disdain	~rapeoflucrece 1
Disdains	~sonnets 1
Dismiss	~venusandadonis 1
Disorder	~venusandadonis 1
Dissembled	~various 1
Dissuade	~sonnets 1
Distance	~various 1
Distempering	~venusandadonis 1
Distill'd	~sonnets 1
Distress	~rapeoflucrece 1
Disturb	~rapeoflucrece 1
Divert	~sonnets 1
Do	~venusandadonis 4~sonnets 4~rapeoflucrece 2
Doing	~sonnets 1
Dost	~venusandadonis 1~sonnets 3
Doth	~venusandadonis 3~various 1~sonnets 6~rapeoflucrece 3
Doubting	~sonnets 1
Dowland	~various 1
Draw	~rapeoflucrece 1
Drawn	~sonnets 1
Dread	~rapeoflucrece 1
Dreading	~various 1
Dries	~venusandadonis 1
Drink	~sonnets 1
Drugs	~sonnets 1
Drunken	~rapeoflucrece 1
Dulling	~sonnets 1
Dumbly	~venusandadonis 1
During	~rapeoflucrece 1
Duty	~sonnets 1
EARL	~venusandadonis 1
ETERNITY	~sonnets 1
EVEN	~venusandadonis 1
EVER-LIVING	~sonnets 1
Each	~venusandadonis 4~sonnets 2~rapeoflucrece 4~loverscomplaint 3
Ear's	~venusandadonis 1
Earl	~rapeoflucrece 1
Earth's	~venusandadonis 1
Eat	~sonnets 1
Eater	~rapeoflucrece 1
Echo	~venusandadonis 1
Effects	~loverscomplaint 1
Either	~various 1~sonnets 1
Else	~venusandadonis 1~sonnets 1
Elysium	~venusandadonis 1
Embroider'd	~various 1
Encamp'd	~loverscomplaint 1
Enchanted	~rapeoflucrece 1
End	~venusandadonis 1~rapeoflucrece 1
Enfranchising	~venusandadonis 1
Englishman	~various 1
Enjoy'd	~sonnets 1
Enswathed	~loverscomplaint 1
Entitled	~sonnets 1
Entombs	~rapeoflucrece 1
Ere	~sonnets 2~rapeoflucrece 4~loverscomplaint 1
Eternal	~sonnets 1
Ethiope	~various 1
Eve's	~sonnets 1
Even	~venusandadonis 10~various 4~sonnets 10~rapeoflucrece 8~loverscomplaint 1
Every	~various 4
Exceeded	~sonnets 1
Excuse	~sonnets 1
Excusing	~sonnets 1
Exhale	~various 1
Experience	~loverscomplaint 1
Extinguishing	~rapeoflucrece 1
Extremity	~rapeoflucrece 1
FORTH	~sonnets 1
FROM	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
Faint	~rapeoflucrece 1
Fair	~venusandadonis 3~various 3~sonnets 3~rapeoflucrece 1
Fairing	~sonnets 1
Faith's	~various 1
Faithful	~various 2
False-creeping	~rapeoflucrece 1
Fanning	~venusandadonis 1
Far	~rapeoflucrece 1
Fare	~various 1
Farewell	~various 2~sonnets 1
Father	~loverscomplaint 1
Fear	~rapeoflucrece 1
Fearfully	~various 1
Fearing	~rapeoflucrece 1
Feast-finding	~rapeoflucrece 1
Featured	~sonnets 1
Feeble	~rapeoflucrece 1
Feed	~venusandadonis 1
Feed'st	~sonnets 1
Feeding	~sonnets 1
Feeds	~sonnets 1
Feeling	~loverscomplaint 1
Few	~rapeoflucrece 1
Fie	~venusandadonis 4~various 1
Figuring	~loverscomplaint 1
Find	~venusandadonis 1~sonnets 1
Finding	~venusandadonis 1~sonnets 2~loverscomplaint 1
First	~rapeoflucrece 3
Flaming	~various 1
Flatter	~sonnets 1
Flocks	~various 1
Fold	~venusandadonis 1
Fondling	~venusandadonis 1
Fool	~rapeoflucrece 1
For	~venusandadonis 34~various 14~sonnets 73~rapeoflucrece 55~loverscomplaint 12
Forbade	~various 1
Forced	~venusandadonis 1~rapeoflucrece 1
Foreknowing	~venusandadonis 1
Foretell	~rapeoflucrece 1
Forgetting	~venusandadonis 1
Forgot	~sonnets 1
Forth	~various 1
Fortune	~various 3~sonnets 1~rapeoflucrece 1
Fortune's	~sonnets 1~rapeoflucrece 1
Foul	~venusandadonis 1~various 1
Foul-cankering	~venusandadonis 1
Found	~loverscomplaint 1
Frantic	~rapeoflucrece 1
Fraughted	~various 1
Free	~venusandadonis 1
Fresh	~loverscomplaint 1
From	~venusandadonis 4~various 1~sonnets 13~rapeoflucrece 14
Full	~venusandadonis 2~sonnets 2~rapeoflucrece 1
Gainst	~venusandadonis 1~various 1~sonnets 1
Gazing	~venusandadonis 1~rapeoflucrece 1
Gentle	~sonnets 1~loverscomplaint 1
Gilding	~sonnets 2
Give	~venusandadonis 3~sonnets 5~rapeoflucrece 1
Gives	~venusandadonis 1~rapeoflucrece 1
Giving	~sonnets 1
Gloss	~venusandadonis 1
Gnats	~rapeoflucrece 1
Go	~rapeoflucrece 1
God	~various 1~rapeoflucrece 1
Good	~venusandadonis 2~various 1
Gored	~sonnets 1
Grace	~various 1~rapeoflucrece 1~loverscomplaint 1
Grant	~sonnets 1
Graze	~venusandadonis 1
Great	~sonnets 1~rapeoflucrece 1
Grecian	~sonnets 1
Greece	~rapeoflucrece 1
Greeks	~rapeoflucrece 3
Green	~venusandadonis 1~various 1
Grew	~venusandadonis 2
Grief	~venusandadonis 1~rapeoflucrece 2
Grieving	~rapeoflucrece 1
Grim	~rapeoflucrece 1
Grim-grinning	~venusandadonis 1
Griped	~rapeoflucrece 1
Grossly	~rapeoflucrece 1
Growing	~sonnets 1
Grows	~sonnets 1
Guilty	~rapeoflucrece 4
Gusts	~venusandadonis 1
H	~sonnets 1
HAPPINESS	~sonnets 1
HENRY	~venusandadonis 1~rapeoflucrece 1
HONORABLE	~venusandadonis 2~rapeoflucrece 1
Had	~venusandadonis 4~various 2~sonnets 3~rapeoflucrece 2
Hadst	~venusandadonis 1
Hallow'd	~loverscomplaint 1
Hang	~sonnets 1
Hanging	~loverscomplaint 1
Haply	~sonnets 1~rapeoflucrece 1
Happy	~sonnets 1
Hard-favour	~venusandadonis 1
Harm	~loverscomplaint 1
Harmless	~rapeoflucrece 1
Harsh	~sonnets 1
Hast	~sonnets 1~rapeoflucrece 2
Hasting	~venusandadonis 1
Hate	~sonnets 1
Hateful	~venusandadonis 1~rapeoflucrece 1
Hath	~venusandadonis 2~sonnets 6~rapeoflucrece 3
Have	~various 1~sonnets 5~rapeoflucrece 5~loverscomplaint 2
Having	~venusandadonis 2~rapeoflucrece 2
He	~venusandadonis 26~various 5~sonnets 7~rapeoflucrece 26~loverscomplaint 2
Health	~rapeoflucrece 1
Heard	~loverscomplaint 1
Hearing	~sonnets 1
Heart	~various 2
Heart's	~various 1
Hearts	~various 1
Heavy	~venusandadonis 1
Hector	~rapeoflucrece 2
Hecuba	~rapeoflucrece 2
Held	~rapeoflucrece 1
Helen's	~sonnets 1~rapeoflucrece 1
Hence	~sonnets 1
Her	~venusandadonis 19~various 6~sonnets 4~rapeoflucrece 33~loverscomplaint 2
Herald	~various 1
Herbs	~venusandadonis 1
Herds	~various 1
Here	~venusandadonis 4~various 3~rapeoflucrece 11
Herein	~sonnets 1
Hers	~sonnets 1
Hiding	~sonnets 1~rapeoflucrece 1
High	~venusandadonis 1
Him	~sonnets 2
Himself	~rapeoflucrece 2
Hindering	~rapeoflucrece 1
His	~venusandadonis 20~sonnets 3~rapeoflucrece 23~loverscomplaint 6
Holding	~venusandadonis 1
Holds	~sonnets 1~rapeoflucrece 1
Holla	~venusandadonis 1
Honour	~rapeoflucrece 3
